"priority_rank","tier","company","domain","website","california_presence","segment","prospect_motion","icp_fit_score","why_synor_fit","personalized_outreach_angle","suggested_buyer_title","apollo_first_name","apollo_last_name_masked","apollo_contact_title","apollo_person_id","apollo_email_status","apollo_data_note","source_checked","risks_or_notes"
"11","A","MindsDB","mindsdb.com","https://mindsdb.com/","Matched Apollo California search; exact office should be verified before outreach","AI data platform","Strategic integration / design partner","90","MindsDB sits close to enterprise data and AI applications, making reliable incremental synchronization and target-state ownership relevant.","Pitch a connector or joint example that keeps AI-facing data products synchronized without bespoke change-processing code.","Co-Founder & CEO","Jorge","To***s","Co-Founder & CEO","66f474c1cfa9c2000122711d","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://mindsdb.com/","Likely partnership-led because platform scope overlaps with parts of Synor's data workflow."
"12","A","Activeloop","activeloop.ai","https://www.activeloop.ai/","Matched Apollo California search; exact office should be verified before outreach","AI data infrastructure and multimodal datasets","Strategic integration / design partner","90","Multimodal datasets and retrieval applications need incremental processing, stable ownership, and cleanup of changed or removed source assets.","Offer a joint multimodal ingestion example where Synor reconciles source files into Activeloop-backed AI data.","Chief Technology Officer","Sasun","Ha***n","Chief Technology Officer","54a73a397468696829d6db20","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.activeloop.ai/","Validate current product boundaries before outreach and keep the proposal narrowly complementary."
"13","A","Ikigai Labs","ikigailabs.io","https://www.ikigailabs.io/","Matched Apollo California search; company domain requires verification because Apollo returned a conflicting domain","Enterprise AI for tabular and time-series data","Customer / design partner","89","Repeated transformations over business tables and time-series data are a direct match for incremental recomputation and declarative target state.","Lead with a use case that updates only affected downstream models or tables when source records and transformation code change.","VP Engineering, AI","Muhammad","Am***d","VP Engineering, AI","","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. No retained person ID was available from the search output.","Apollo company and people search 2026-07-29; https://www.ikigailabs.io/","Apollo returned ikigaitest.com in the company result; verify the exact legal entity and contact association before outreach."
"14","B","Evolv AI","evolv.ai","https://evolv.ai/","San Francisco address verified on company site; matched Apollo California search","AI experimentation and personalization","Customer / design partner","88","Continuous experimentation produces changing variants, analytics, learned knowledge, and downstream activation state that benefits from incremental reconciliation.","Pitch reliable synchronization of experiment inputs, learned artifacts, and activation targets across the optimization lifecycle.","VP Engineering; President and CTO","","","","","Not searched to a named Apollo result","Apollo company search qualified the account, but the retained people-search output did not include a named technical buyer.","Apollo company search 2026-07-29; https://evolv.ai/home-1","Company site lists technical leadership, but use Apollo enrichment or a fresh people search before adding personal contact data."
"15","B","Hypersonix","hypersonix.ai","https://hypersonix.ai/","San Jose HQ verified on company site; matched Apollo California search","Enterprise AI analytics for commerce","Customer / design partner","88","Commerce intelligence products aggregate changing operational sources and repeatedly generate derived analytics and recommendations.","Offer a pilot that declaratively reconciles source commerce data into analytics and AI targets while removing stale derived state.","Founder & CEO; Head of AI","Prem","Ki***n","Founder & CEO","670056e973a67c00015ede3c","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://hypersonix.ai/company-news/hypersonix-scales-enterprise-ai-commerce-leadership-series-b","At this stage the CEO may route the conversation; make the first message concrete and technical."
"16","B","Sparkflows","sparkflows.ai","https://www.sparkflows.ai/","Matched Apollo California search; exact office should be verified before outreach","Enterprise AI and data application platform","Customer / channel partner","87","A platform building AI solutions across enterprise data can use Synor to standardize incremental source processing and target synchronization.","Lead with reusable connector-driven pipelines and suggest a joint client implementation or embedded integration.","Head of AI Integrations & Solutions","Aayush","Sr***a","Head of AI Integrations & Solutions","64b07aaa1da4970001b95801","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.sparkflows.ai/","Clarify whether the best motion is product adoption, implementation partnership, or an embedded connector."
"17","B","ThoughtMinds","thoughtminds.ai","https://thoughtminds.ai/","Matched Apollo California search; exact office should be verified before outreach","Enterprise AI engineering and services","Channel / implementation partner","86","An AI services firm can reuse Synor to deliver maintainable incremental data and knowledge pipelines for multiple clients.","Offer Synor as a standardized delivery layer that reduces custom sync code and ongoing maintenance in client AI projects.","CTO & Delivery Head","Arun","Ra***n","CTO & Delivery Head","","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. No retained person ID was available from the search output.","Apollo company and people search 2026-07-29; https://thoughtminds.ai/about-us","Partner economics and delivery repeatability are more compelling than a pure product-feature pitch."
"18","B","ClearML","clear.ml","https://clear.ml/","Matched Apollo California search; exact office should be verified before outreach","MLOps and AI infrastructure","Strategic integration / internal platform prospect","85","AI infrastructure teams need dependable data and artifact preparation around model training, deployment, and GenAI workflows.","Pitch a reference pipeline where Synor incrementally prepares and reconciles data artifacts while ClearML orchestrates compute and experiments.","Co-Founder & CEO; VP Engineering","Moses","Gu***n","Co-Founder & CEO","","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. No retained person ID was available from the search output.","Apollo company and people search 2026-07-29; https://clear.ml/","Potential capability overlap; focus on the data-state layer and integrations rather than orchestration."
"19","B","H2O.ai","h2o.ai","https://h2o.ai/","Mountain View address verified in company materials; matched Apollo California search","Enterprise AI and AutoML platform","Strategic customer / integration partner","84","Enterprise model workflows depend on refreshed datasets and derived artifacts, particularly in regulated industries where reproducibility matters.","Open with an incremental data-preparation and artifact-reconciliation example for governed model refresh workflows.","VP Engineering","Michal","Ma***a","VP Engineering","66f1f960a9efab000118372e","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://h2o.ai/","Larger and mature account; expect a longer cycle and insist on a narrowly differentiated use case."
"20","B","Perplexity","perplexity.ai","https://www.perplexity.ai/","Matched Apollo California search; exact office should be verified before outreach","AI answer engine and search","Strategic customer / design partner","84","Search products continuously ingest and transform large, changing corpora where incremental updates and deletions are technically important.","Lead with a high-throughput benchmark or a specialized enterprise-knowledge synchronization use case, not a general product introduction.","Co-Founder & CTO; VP Engineering","Denis","Ya***s","Co-Founder & CTO","66f2878cc144370001d7bcd7","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.perplexity.ai/","Very high technical bar and likely hard to reach; prioritize only with a strong benchmark or warm introduction."
"21","B","Krea","krea.ai","https://www.krea.ai/","Matched Apollo California search; exact office should be verified before outreach","Multimodal generative AI creation","Customer / design partner","83","Multimodal asset pipelines create derived files, embeddings, metadata, and indexes that must track source changes cleanly.","Show how Synor can own reusable media-processing components and reconcile every derivative when a source asset changes or disappears.","Co-Founder & CTO; Head of Supercomputing & AI Infrastructure","Diego","Pr***o","Co-Founder & CTO","6984d1880e34f80001bf6bc2","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.krea.ai/","Confirm that batch and asset ingestion is a current bottleneck before investing in a technical pilot."
"22","B","fal","fal.ai","https://fal.ai/","Matched Apollo California search; exact office should be verified before outreach","Generative media inference infrastructure","Strategic integration / design partner","82","Customers running generative media workflows need reliable processing and synchronization around inputs, generated artifacts, metadata, and storage targets.","Propose an example pipeline combining fal inference with Synor-owned asset lifecycle and deterministic cleanup.","Head of Engineering","Batuhan","Ta***a","Head of Engineering","6850883becb9770001ba0767","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://fal.ai/","Partnership-led fit; Synor should be positioned as lifecycle infrastructure around inference."
"23","B","TrueFan AI","truefan.ai","https://truefan.ai/","Matched Apollo California search; exact office should be verified before outreach","Generative video and AI agent systems","Customer / design partner","82","Personalized media generation combines changing source content, model calls, metadata, and many derived outputs with cleanup needs.","Offer a proof of concept for incremental personalized-media processing that avoids full reruns and tracks ownership of every generated artifact.","Co-Founder & CTO","Devender","Bi***l","Co-Founder & CTO","66f32d28e0cc9900010f7406","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://truefan.ai/","Validate the California operating presence and current product focus before outreach."
"24","B","Weights & Biases","wandb.ai","https://wandb.ai/","Matched Apollo California search; exact office should be verified before outreach","AI developer platform and experiment tracking","Strategic integration partner","80","Synor can complement experiment tracking by owning reproducible incremental preparation and synchronization of datasets and downstream artifacts.","Lead with integration value for data and artifact lineage, and acknowledge the existing platform rather than presenting Synor as an orchestrator replacement.","VP Engineering; Director of Engineering","Jason","Zh***o","Senior Director of Engineering","","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. No retained person ID was available from the search output.","Apollo company and people search 2026-07-29; https://wandb.ai/","Apollo indicates ownership by CoreWeave; verify the current organization and partnership route before outreach."
"25","C","Dataro","dataro.io","https://dataro.io/","Matched Apollo California search; exact office and entity should be verified before outreach","Predictive AI platform","Customer / design partner","76","Predictive workflows over changing customer and campaign data can benefit from incremental transformation and synchronized downstream outputs.","Ask whether data refreshes and deletion handling create custom pipeline maintenance, then offer a narrowly scoped reconciliation pilot.","Head of Engineering","Biagio","Ab***o","Head of Engineering","","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. No retained person ID was available from the search output.","Apollo company and people search 2026-07-29; https://dataro.io/","Lower priority because California presence and product fit are less certain; verify before outreach."
